room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Tower Hamlets,Canary Wharf,14,5,2,1,39,51.498848,-0.019218
Private room,Tower Hamlets,Canary Wharf,1,0,2,1,37,51.498336,-0.020457
Private room,Tower Hamlets,Bromley South,2,0,2,1,40,51.521643,-0.022081
Private room,Tower Hamlets,Limehouse,0,0,1,1,31,51.509573,-0.027389
Private room,Tower Hamlets,Poplar,1,0,2,1,38,51.510607,-0.019719
Private room,Tower Hamlets,Lansbury,1,0,1,1,34,51.517165,-0.011421
Private room,Tower Hamlets,Mile End,2,0,2,1,38,51.512908,-0.025884
Private room,Tower Hamlets,Blackwall & Cubitt Town,6,0,2,1,37,51.503656,-0.008026
Private room,Tower Hamlets,Lansbury,5,5,2,1,38,51.516846,-0.015362
Private room,Tower Hamlets,Mile End,0,0,2,1,28,51.517562,-0.025452
Private room,Tower Hamlets,Mile End,0,0,2,1,37,51.514417,-0.024926
Private room,Tower Hamlets,Lansbury,1,0,2,1,31,51.512538,-0.017798
Private room,Tower Hamlets,Bow East,3,4.5,2,1,36,51.538306,-0.02756
Private room,Tower Hamlets,Canary Wharf,0,0,1,1,32,51.508383,-0.023092
Private room,Tower Hamlets,Bromley North,6,4.5,2,1,40,51.525262,-0.015616
Private room,Tower Hamlets,Canary Wharf,0,0,2,1,34,51.498504,-0.017655
Private room,Tower Hamlets,Mile End,5,3.5,2,1,36,51.511201,-0.023694
Private room,Tower Hamlets,Mile End,5,4,2,1,38,51.511865,-0.024028
Private room,Tower Hamlets,Canary Wharf,1,0,2,1,26,51.500947,-0.023966
Private room,Tower Hamlets,Mile End,0,0,1,1,28,51.517006,-0.023596
Private room,Tower Hamlets,Bromley North,0,0,2,1,38,51.525269,-0.018145
Private room,Tower Hamlets,Mile End,0,0,1,1,33,51.513465,-0.025008
Private room,Tower Hamlets,Mile End,4,4.5,2,1,40,51.511328,-0.023975
Private room,Tower Hamlets,Lansbury,3,5,2,1,38,51.511712,-0.018768
Private room,Tower Hamlets,Bromley North,1,0,2,1,40,51.526063,-0.016133
Private room,Tower Hamlets,Bromley North,0,0,2,1,34,51.524457,-0.015631
Private room,Tower Hamlets,Blackwall & Cubitt Town,2,0,1,1,28,51.509312,-0.001772
Private room,Waltham Forest,Grove Green,35,5,2,1,38,51.564075,-0.0007
Private room,Tower Hamlets,Lansbury,2,0,2,1,38,51.511484,-0.018948
Private room,Newham,Custom House,2,0,2,1,23,51.51438,0.034736
Private room,Tower Hamlets,Poplar,16,4,2,1,38,51.508521,-0.014036
Private room,Tower Hamlets,Poplar,44,4.5,2,1,34,51.509442,-0.011156
Private room,Tower Hamlets,Lansbury,2,0,3,1,32,51.511967,-0.012137
Private room,Newham,Canning Town South,7,5,2,1,40,51.51099,0.011929
Private room,Tower Hamlets,Bromley South,4,5,2,1,38,51.522098,-0.018917
Private room,Tower Hamlets,Lansbury,1,0,2,1,38,51.518199,-0.011586
Private room,Tower Hamlets,Blackwall & Cubitt Town,5,5,2,1,37,51.506083,-0.006173
Private room,Tower Hamlets,Lansbury,1,0,2,1,36,51.517745,-0.015709
Private room,Tower Hamlets,Lansbury,10,5,2,1,38,51.511824,-0.017666
Private room,Tower Hamlets,Lansbury,5,4.5,2,1,38,51.51268,-0.018569
Private room,Newham,Custom House,1,0,2,1,38,51.516822,0.028963
Private room,Newham,Custom House,0,0,2,1,38,51.514568,0.047745
Private room,Newham,Beckton,1,0,1,1,28,51.512964,0.054333
Private room,Newham,East Ham North,0,0,2,1,28,51.544411,0.053344
Private room,Redbridge,Newbury,29,4.5,1,1,38,51.572134,0.07815
Private room,Barking and Dagenham,Abbey,0,0,2,1,38,51.543243,0.080269
Private room,Newham,Beckton,1,0,1,1,27,51.508831,0.067629
Private room,Barking and Dagenham,Longbridge,1,0,2,1,38,51.540183,0.093171
Private room,Greenwich,Peninsula,15,4,2,1,37,51.487723,0.027184
Private room,Greenwich,Abbey Wood,3,4.5,1,1,32,51.486853,0.112274
Private room,Newham,Plaistow North,8,4.5,2,1,24,51.52678,0.021974
Private room,Greenwich,Shooters Hill,11,5,2,1,24,51.473667,0.086281
Private room,Tower Hamlets,Poplar,4,5,2,1,33,51.513443,0.001549
Private room,Newham,Custom House,8,5,2,1,38,51.510705,0.042295
Private room,Greenwich,Charlton,1,0,2,1,38,51.480891,0.023716
Private room,Greenwich,Woolwich Riverside,3,4.5,1,1,32,51.49405,0.048286
Private room,Newham,Canning Town South,8,5,1,1,37,51.51525,0.014036
Private room,Greenwich,Glyndon,2,0,2,1,38,51.495995,0.079167
Private room,Greenwich,Glyndon,0,0,2,1,32,51.487206,0.083942
Private room,Newham,Canning Town South,0,0,2,1,34,51.509575,0.022355
Private room,Newham,Forest Gate North,2,0,2,1,26,51.546692,0.006553
Private room,Tower Hamlets,Blackwall & Cubitt Town,4,3,1,1,33,51.501474,-0.008517
Private room,Greenwich,Woolwich Common,7,5,2,1,38,51.487767,0.064418
Private room,Newham,Beckton,62,4.5,2,1,34,51.515788,0.051041
Private room,Greenwich,Glyndon,0,0,1,1,32,51.495884,0.077635
Private room,Greenwich,Shooters Hill,36,5,1,1,23,51.476956,0.084273
Private room,Newham,Canning Town South,1,0,1,1,33,51.514462,0.010036
Private room,Greenwich,Woolwich Common,0,0,2,1,38,51.482504,0.071688
Private room,Greenwich,Woolwich Common,19,5,1,1,32,51.484401,0.069239
Private room,Greenwich,Glyndon,1,0,2,1,32,51.492402,0.07935
Private room,Greenwich,Greenwich West,1,0,1,1,32,51.483076,-0.006123
